序号,名称,代码,最新价,涨跌幅%,成交额(元),换手率%,所属板块,上涨驱动逻辑
1,绿的谐波,688017,303.65,16.34,4523620030.0,8.22,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
2,中控技术,688777,93.12,15.25,3097945435.0000005,4.34,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
3,深信服,300454,119.71,14.77,5036860197.0,14.81,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
4,万兴科技,300624,53.51,14.34,1620955274.0,17.79,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
5,海天瑞声,688787,100.83,13.48,468248687.0,7.81,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
6,绿盟科技,300369,7.44,13.41,1087176346.0,18.33,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
7,芯原股份,688521,193.0,13.39,5033342101.0,4.91,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
8,颀中科技,688352,13.91,11.37,500253986.0,9.79,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
9,拓斯达,300607,29.8,11.11,1316485404.0,13.13,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
10,开普云,688228,66.01,10.61,226792683.0,5.11,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
11,长芯博创,300548,140.5,10.4,3152618322.0,7.4,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
12,雷赛智能,002979,57.37,10.01,746547626.0,5.99,全市场热门,涨停封板，短线情绪推动，关注次日溢价和换手率变化
13,凌云光,688400,42.71,9.37,681299652.0000001,3.48,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
14,步科股份,688160,109.4,9.26,317931675.0,3.2,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
15,奇安信-U,688561,27.03,9.08,491386989.00000006,2.7,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
16,埃夫特-U,688165,16.53,9.04,242352789.0,2.84,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
17,深南电路,002916,308.0,8.26,4661288947.0,2.26,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
18,太辰光,300570,114.0,7.63,2219653470.0,9.77,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
19,沪电股份,002463,103.75,7.46,7756690458.0,3.83,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
20,源杰科技,688498,1092.1,7.41,8152098061.0,5.77,全市场热门,主力资金介入，量价配合，关注板块联动和持续性
21,光库科技,300620,205.3,7.38,2610630645.0,4.93,光模块,主力资金介入，量价配合，关注板块联动和持续性
22,腾景科技,688195,108.05,7.27,958246884.0,4.71,光模块,主力资金介入，量价配合，关注板块联动和持续性
23,仕佳光子,688313,90.04,7.23,2554963024.0,6.11,光模块,主力资金介入，量价配合，关注板块联动和持续性
24,德科立,688205,115.61,7.11,1184636281.0,6.2,光模块,主力资金介入，量价配合，关注板块联动和持续性
25,圣邦股份,300661,95.73,6.87,1978167489.0,3.33,半导体,主力资金介入，量价配合，关注板块联动和持续性
26,天孚通信,300394,171.01,6.81,9840887549.0,5.04,光模块,主力资金介入，量价配合，关注板块联动和持续性
27,天准科技,688003,68.8,6.75,566651259.0,4.1,机器人,主力资金介入，量价配合，关注板块联动和持续性
28,新易盛,300502,396.01,6.71,31180609644.999996,5.98,光模块,主力资金介入，量价配合，关注板块联动和持续性
29,中科创达,300496,60.38,6.47,1484151315.0,6.65,机器人,主力资金介入，量价配合，关注板块联动和持续性
30,埃斯顿,002747,29.74,6.4,2856319338.0,12.32,机器人,主力资金介入，量价配合，关注板块联动和持续性
31,国科微,300672,129.5,6.23,2370516506.0,8.37,半导体,主力资金介入，量价配合，关注板块联动和持续性
32,寒武纪,688256,1106.0,6.1,18552276984.0,2.59,半导体,主力资金介入，量价配合，关注板块联动和持续性
33,精测电子,300567,191.0,6.0,2372678872.0,5.33,机器人,主力资金介入，量价配合，关注板块联动和持续性
34,长川科技,300604,259.64,5.76,9557081780.0,7.15,半导体,主力资金介入，量价配合，关注板块联动和持续性
35,全志科技,300458,33.54,5.41,3635939358.0,13.43,半导体,主力资金介入，量价配合，关注板块联动和持续性
36,复旦微电,688385,48.65,5.3,930704368.0,3.51,半导体,主力资金介入，量价配合，关注板块联动和持续性
