date,open,close,high,low,volume,amount
2026-04-17,20.74,20.33,20.87,20.16,1453391.0,2954743902.9999995
2026-04-20,20.71,21.03,21.32,20.26,1531150.0,3220008450.0
2026-04-21,20.43,20.48,21.02,20.0,1060652.0,2172215296.0
2026-04-22,20.03,21.25,22.2,19.95,1517438.0,3224555750.0
2026-04-23,21.01,20.99,21.99,20.3,1134080.0,2380433920.0
2026-04-24,20.51,19.97,22.5,19.6,1065863.0,2128528411.0
2026-04-27,19.63,20.15,20.83,18.9,1018323.0,2051920845.0
2026-04-28,20.13,19.25,20.48,19.01,746497.0,1437006725.0
2026-04-29,19.13,19.33,20.29,18.88,557106.0,1076885897.9999998
2026-04-30,19.36,18.08,19.5,18.03,892176.0,1613054207.9999998
2026-05-06,18.45,18.28,18.74,18.2,843048.0,1541091744.0000002
2026-05-07,19.8,20.11,20.11,18.77,1249888.0,2513524768.0
2026-05-08,19.97,21.07,21.22,19.69,1608189.0,3388454223.0000005
2026-05-11,22.12,20.9,22.12,20.2,1296737.0,2710180329.9999995
2026-05-12,21.49,21.55,21.92,20.99,1547377.0,3334597435.0
2026-05-13,20.84,21.21,22.0,20.78,1429726.0,3032448846.0
2026-05-14,21.15,20.45,21.9,20.45,1344379.0,2749255055.0
2026-05-15,20.04,19.06,20.95,18.87,1058153.0,2016839618.0
2026-05-18,18.9,19.49,19.77,18.8,714629.0,1392811921.0
2026-05-19,19.0,18.76,19.09,17.94,802882.0,1506206632.0000002
2026-05-20,18.6,19.84,20.64,18.5,1569139.0,3113171776.0
2026-05-21,19.49,17.99,19.6,17.86,1264271.0,2274423529.0
2026-05-22,17.99,18.48,18.5,17.55,707555.0,1307561640.0
2026-05-25,18.51,18.32,18.72,17.9,571086.0,1046229552.0
2026-05-26,18.14,17.43,18.18,16.88,633588.0,1104343884.0
2026-05-27,17.4,17.21,18.1,17.18,505759.0,870411239.0
2026-05-28,17.02,17.84,18.05,16.6,591223.0,1054741832.0
2026-05-29,17.88,18.07,18.65,17.33,755954.0,1366008878.0
2026-06-01,17.61,17.01,17.71,17.0,479583.0,815770683.0000001
2026-06-02,16.94,17.74,17.96,16.73,546745.0,969925630.0
2026-06-03,18.2,18.06,18.76,17.76,806483.0,1456508297.9999998
2026-06-04,17.42,18.53,19.35,17.42,726961.0,1347058733.0
2026-06-05,18.54,19.92,20.38,18.54,1786816.0,3559337472.0000005
2026-06-08,17.93,18.46,19.49,17.93,1411132.0,2604949672.0000005
2026-06-09,19.57,19.53,19.83,18.41,1034404.0,2020191012.0
2026-06-10,19.22,18.21,19.36,17.7,974636.0,1774812156.0000002
2026-06-11,17.9,17.67,18.75,17.26,724756.0,1280643852.0000002
2026-06-12,18.1,17.1,18.24,16.92,836653.0,1430676630.0
2026-06-15,17.08,18.81,18.81,17.08,1207670.0,2271627270.0
2026-06-16,19.37,19.49,19.88,19.0,1320033.0,2572744317.0
2026-06-17,19.0,20.66,20.83,19.0,1346809.0,2782507394.0
2026-06-18,20.76,20.73,21.2,20.33,1076960.0,2232538080.0
2026-06-22,22.01,22.8,22.8,22.01,398073.0,907606440.0
2026-06-23,24.75,25.08,25.08,23.51,1375005.0,3448512540.0
2026-06-24,24.59,25.33,26.05,24.35,1861356.0,4714814748.0
2026-06-25,25.33,24.77,25.47,23.77,1154074.0,2858641298.0
2026-06-26,24.6,22.29,24.76,22.29,913376.0,2035915104.0
2026-06-29,21.89,20.37,22.35,20.06,1071879.0,2183417523.0
2026-06-30,20.77,20.84,20.95,19.8,850963.0,1773406891.9999998
2026-07-01,20.8,19.6,21.0,19.39,868475.0,1702211000.0
2026-07-02,19.02,17.9,19.33,17.88,830419.0,1486450010.0
2026-07-03,18.13,17.99,19.09,17.92,824881.0,1483960919.0
2026-07-06,18.36,18.79,19.13,16.8,1287650.0,2419494350.0
2026-07-07,18.4,18.18,18.94,17.91,749936.0,1363383648.0
2026-07-08,18.31,17.42,18.44,17.09,661248.0,1151894016.0000002
2026-07-09,18.7,18.18,18.86,17.5,1274132.0,2316371976.0
2026-07-10,18.15,18.0,18.92,17.88,1164705.0,2096469000.0
2026-07-13,17.09,16.2,17.31,16.2,695217.0,1126251540.0
2026-07-14,15.22,16.37,16.52,14.68,848222.0,1388539414.0
2026-07-15,16.26,15.6,16.4,15.55,553401.0,863305560.0
2026-07-16,15.26,14.78,15.65,14.7,537465.0,794373269.9999999
2026-07-17,14.65,13.5,14.76,13.31,620639.0,837862650.0
2026-07-20,13.98,12.85,14.22,12.45,661764.0,850366740.0
2026-07-21,13.08,13.75,13.79,11.57,833270.0,1145746250.0
2026-07-22,13.28,13.37,13.9,13.24,573333.0,766546221.0
2026-07-23,13.4,13.68,14.06,13.3,531274.0,726782832.0
2026-07-24,13.34,13.0,13.49,12.85,383329.0,498327700.0
2026-07-27,12.9,13.66,13.74,12.89,470891.0,643237106.0
2026-07-28,13.52,13.03,13.9,12.96,448165.0,583958994.9999999
2026-07-29,12.99,12.72,13.15,12.38,454645.0,578308440.0
2026-07-30,12.64,12.18,12.95,12.0,422878.0,515065404.0
2026-07-31,12.8,12.68,13.08,12.68,505930.0,641519240.0
2026-08-03,12.55,12.99,13.1,12.5,377184.0,489962016.0
2026-08-04,13.36,13.51,13.59,13.11,493930.0,667299430.0
2026-08-05,13.11,14.17,14.3,13.11,789553.0,1118796601.0
2026-08-06,13.95,14.26,14.53,13.89,640411.0,913226086.0
2026-08-07,14.4,14.65,14.75,13.94,643767.0,943118655.0
2026-08-10,14.72,14.45,14.8,14.11,464231.0,670813794.9999999
2026-08-11,14.3,14.37,14.62,14.04,357311.0,513455906.99999994
