date,open,close,high,low,volume,amount
2026-04-17,9.66,9.69,9.75,9.6,397029.0,384721101.0
2026-04-20,9.64,9.78,9.96,9.56,475754.0,465287412.0
2026-04-21,9.8,9.68,9.98,9.63,410636.0,397495648.0
2026-04-22,9.61,9.84,9.85,9.38,569282.0,560173488.0
2026-04-23,9.83,10.03,10.48,9.81,925457.0,928233371.0
2026-04-24,10.0,9.7,10.26,9.7,744076.0,721753719.9999999
2026-04-27,10.0,10.67,10.67,9.81,1273922.0,1359274774.0
2026-04-28,10.66,10.22,10.72,10.15,1184026.0,1210074572.0
2026-04-29,10.14,10.25,10.4,10.07,694892.0,712264300.0
2026-04-30,10.32,11.28,11.28,10.31,1639527.0,1849386456.0
2026-05-06,11.82,11.53,11.96,11.4,2054222.0,2368517966.0
2026-05-07,11.65,12.26,12.5,11.42,1902895.0,2332949270.0
2026-05-08,12.1,12.27,12.65,12.0,1145186.0,1405143222.0
2026-05-11,12.66,12.89,13.17,12.44,1371597.0,1767988533.0000002
2026-05-12,12.89,13.1,13.46,12.71,1295484.0,1697084039.9999998
2026-05-13,12.98,13.14,13.3,12.76,1106835.0,1454381190.0
2026-05-14,13.42,12.52,13.45,12.52,1110593.0,1390462436.0
2026-05-15,12.77,13.31,13.77,12.68,2166605.0,2883751255.0
2026-05-18,13.0,12.65,13.0,12.54,1359908.0,1720283620.0
2026-05-19,12.6,13.92,13.92,12.2,1506182.0,2096605344.0
2026-05-20,14.23,14.21,15.27,14.0,2069800.0,2941185800.0
2026-05-21,14.7,15.41,15.63,14.7,2651557.0,4086049337.0
2026-05-22,15.69,15.69,16.38,14.66,3263707.0,5120756283.0
2026-05-25,15.7,15.5,15.97,14.78,2451789.0,3800272950.0
2026-05-26,15.4,15.04,15.66,14.15,2279273.0,3428026591.9999995
2026-05-27,15.1,15.28,16.48,15.1,1998093.0,3053086104.0
2026-05-28,15.73,16.81,16.81,15.55,2507836.0,4215672316.0
2026-05-29,17.47,16.17,17.7,16.01,2323886.0,3757723662.000001
2026-06-01,16.0,15.84,16.47,15.47,1709329.0,2707577136.0
2026-06-02,16.18,15.62,16.3,15.0,1483898.0,2317848676.0
2026-06-03,16.5,17.15,17.18,16.01,2888291.0,4953419065.0
2026-06-04,16.5,18.87,18.87,16.4,1509259.0,2847971733.0
2026-06-05,18.3,17.39,18.77,17.2,3084360.0,5363702040.0
2026-06-08,16.05,16.45,17.61,16.05,1661082.0,2732479890.0
2026-06-09,16.9,16.75,17.12,15.85,1814921.0,3039992675.0
2026-06-10,16.5,16.63,17.09,15.68,1376965.0,2289892795.0
2026-06-11,16.44,17.14,18.06,16.38,1447181.0,2480468234.0
2026-06-12,17.5,16.07,17.79,16.0,1742054.0,2799480778.0
2026-06-15,16.05,17.33,17.55,15.71,1680283.0,2911930438.9999995
2026-06-16,17.14,16.78,17.67,16.72,1227514.0,2059768492.0
2026-06-17,16.88,17.61,17.84,16.46,1492010.0,2627429610.0
2026-06-18,17.61,18.65,19.36,17.45,1923824.0,3587931759.9999995
2026-06-22,19.0,17.59,19.25,16.79,2250101.0,3957927659.0
2026-06-23,17.28,17.39,17.86,17.08,1075942.0,1871063138.0
2026-06-24,17.4,19.13,19.13,16.51,2109773.0,4035995749.0
2026-06-25,19.5,19.71,20.22,18.62,2056893.0,4054136103.0
2026-06-26,19.68,19.97,20.6,19.37,1751181.0,3497108457.0
2026-06-29,20.5,18.47,21.32,17.97,1982227.0,3661173269.0
2026-06-30,18.2,19.0,19.4,17.8,1344148.0,2553881200.0
2026-07-01,18.87,17.81,19.38,17.6,1778021.0,3166655401.0
2026-07-02,16.94,16.4,17.8,16.33,1553812.0,2548251679.9999995
2026-07-03,16.01,15.37,16.69,15.35,1435714.0,2206692418.0
2026-07-06,15.8,16.91,16.91,15.5,1295126.0,2190058066.0
2026-07-07,16.88,18.6,18.6,16.5,2533021.0,4711419060.0
2026-07-08,18.88,19.5,20.39,18.36,2563189.0,4998218550.0
2026-07-09,19.36,20.79,21.12,19.21,2006712.0,4171954248.0
2026-07-10,20.3,19.8,21.31,19.8,1775665.0,3515816700.0
2026-07-13,19.29,19.91,21.29,19.27,1924061.0,3830805451.0
2026-07-14,20.15,19.17,20.48,18.47,1580882.0,3030550794.0
2026-07-15,19.3,17.98,19.9,17.7,1575170.0,2832155660.0
2026-07-16,17.74,19.48,19.78,17.19,1857314.0,3618047672.0
2026-07-17,18.99,17.53,19.36,17.53,1565187.0,2743772811.0000005
