date,open,close,high,low,volume,amount
2026-04-17,17.548,17.756,17.989,17.506,222016.0,394211609.6
2026-04-20,17.648,17.539,17.881,17.314,203266.0,356508237.40000004
2026-04-21,17.406,17.823,18.164,17.381,271165.0,483297379.5
2026-04-22,17.639,17.364,17.898,17.231,234046.0,406397474.4
2026-04-23,17.273,17.031,17.398,16.914,191223.0,325671891.29999995
2026-04-24,16.906,16.614,17.014,16.598,172950.0,287339130.0
2026-04-27,16.623,16.948,17.264,16.373,180489.0,305892757.2
2026-04-28,16.881,16.731,17.256,16.706,148973.0,249246726.3
2026-04-29,16.706,16.664,16.864,16.623,145455.0,242386212.0
2026-04-30,16.648,16.981,17.139,16.548,266276.0,452163275.6
2026-05-06,16.898,17.739,18.123,16.856,367893.0,652605392.7
2026-05-07,17.898,18.323,18.848,17.889,377681.0,692024896.3000001
2026-05-08,18.331,18.031,18.423,18.014,222745.0,401631509.5
2026-05-11,18.031,17.456,18.106,17.389,274812.0,479711827.2
2026-05-12,17.456,16.998,17.548,16.914,214190.0,364080162.0
2026-05-13,17.064,16.914,17.273,16.798,241884.0,409122597.6
2026-05-14,16.998,16.489,17.239,16.481,276178.0,455389904.2000001
2026-05-15,16.506,16.731,17.289,16.381,295680.0,494702208.0
2026-05-18,16.481,16.406,16.748,16.273,216315.0,354886388.99999994
2026-05-19,16.314,16.856,16.856,16.314,181979.0,306743802.40000004
2026-05-20,16.739,17.073,17.381,16.489,308065.0,525959374.5
2026-05-21,16.906,16.306,16.906,16.306,228420.0,372461652.0
2026-05-22,16.439,16.489,16.664,16.339,127163.0,209679070.7
2026-05-25,16.314,16.023,16.381,15.831,185409.0,297080840.7
2026-05-26,15.856,15.456,15.889,14.998,232197.0,358883683.2
2026-05-27,15.314,14.806,15.448,14.698,201975.0,299044184.99999994
2026-05-28,14.656,14.689,14.998,14.398,149168.0,219112875.2
2026-05-29,15.056,14.689,15.706,14.589,227292.0,333869218.8
2026-06-01,14.581,14.289,14.873,14.189,163292.0,233327938.8
2026-06-02,14.281,13.906,14.289,13.623,207037.0,287905652.20000005
2026-06-03,13.814,13.339,14.064,13.248,252191.0,336397574.90000004
2026-06-04,13.289,13.389,14.023,13.098,219898.0,294421432.2
2026-06-05,13.306,13.364,13.756,13.123,185301.0,247636256.40000004
2026-06-08,13.106,13.181,13.548,12.873,149365.0,196878006.5
2026-06-09,13.389,13.339,13.398,13.039,126182.0,168314169.8
2026-06-10,13.148,13.348,13.439,13.148,117386.0,156686832.8
2026-06-11,13.523,13.231,13.523,13.123,129275.0,171043752.5
2026-06-12,13.189,13.239,13.723,13.048,204938.0,271317418.2
2026-06-15,13.223,13.706,13.723,13.156,249896.0,342507457.6
2026-06-16,13.731,14.389,14.964,13.731,427418.0,615011760.2
2026-06-17,14.331,14.081,15.089,14.031,333118.0,469063455.8
2026-06-18,14.064,13.381,14.139,13.314,216734.0,290011765.40000004
2026-06-22,13.231,13.573,13.581,12.923,183918.0,249631901.4
2026-06-23,13.456,13.473,14.014,13.431,152882.0,205977918.6
2026-06-24,13.6,13.18,13.6,13.0,145382.0,191613476.0
2026-06-25,13.0,12.54,13.28,12.28,294411.0,369191394.0
2026-06-26,12.43,12.11,12.8,12.11,211864.0,256567304.0
2026-06-29,11.74,11.92,12.27,11.64,206156.0,245737952.0
2026-06-30,11.93,12.11,12.15,11.7,139125.0,168480375.0
2026-07-01,12.11,11.99,12.12,11.61,206563.0,247669037.0
2026-07-02,11.89,12.14,12.56,11.88,251881.0,305783534.00000006
2026-07-03,12.15,12.36,12.43,12.01,162506.0,200857416.0
2026-07-06,12.23,11.82,12.34,11.82,161807.0,191255874.0
2026-07-07,11.76,11.49,11.85,11.4,147651.0,169650999.0
2026-07-08,11.46,11.66,12.06,11.41,177113.0,206513758.0
2026-07-09,11.67,11.59,11.8,11.4,144507.0,167483613.0
2026-07-10,11.63,12.75,12.75,11.47,275191.0,350868525.0
2026-07-13,12.43,14.03,14.03,12.4,508465.0,713376394.9999999
2026-07-14,14.44,14.27,14.78,13.6,673018.0,960396686.0
2026-07-15,13.67,13.75,14.7,13.5,456350.0,627481250.0
2026-07-16,13.62,13.57,14.07,13.24,314119.0,426259483.0
2026-07-17,13.55,12.41,13.89,12.32,386937.0,480188817.0
2026-07-20,12.46,12.03,12.7,11.84,378259.0,455045577.0
2026-07-21,11.93,12.3,12.45,11.7,284884.0,350407320.0
2026-07-22,12.15,12.0,12.33,11.88,227261.0,272713200.0
2026-07-23,11.95,12.3,12.39,11.92,182361.0,224304030.00000003
2026-07-24,12.17,11.8,12.26,11.72,154005.0,181725900.0
2026-07-27,11.7,12.21,12.34,11.56,187934.0,229467414.0
2026-07-28,13.2,13.43,13.43,12.67,272634.0,366147462.0
2026-07-29,13.0,12.67,13.17,12.47,422934.0,535857378.0
2026-07-30,12.48,13.94,13.94,12.48,389600.0,543102400.0
2026-07-31,14.0,14.63,14.75,13.72,550882.0,805940366.0
2026-08-03,14.18,14.02,14.55,13.96,321504.0,450748608.0
2026-08-04,14.15,14.15,14.28,13.99,208822.0,295483130.0
2026-08-05,14.1,15.57,15.57,14.05,393409.0,612537813.0
2026-08-06,15.5,15.59,16.24,15.32,606811.0,946018349.0
2026-08-07,15.55,15.92,15.95,15.42,344368.0,548233856.0
