date,open,close,high,low,volume,amount
2026-04-17,22.999,23.399,23.549,22.929,1282425.0,3000746257.5000005
2026-04-20,23.469,25.509,25.639,23.469,3050304.0,7781020473.6
2026-04-21,25.519,25.499,25.969,24.989,2582238.0,6584448676.2
2026-04-22,24.669,25.189,25.309,24.589,1778131.0,4478934175.900001
2026-04-23,25.079,24.999,25.909,24.579,2187799.0,5469278720.099999
2026-04-24,24.829,23.599,24.829,23.579,1835177.0,4330834202.3
2026-04-27,23.409,23.369,23.849,22.919,1495577.0,3495013891.3
2026-04-28,23.379,22.319,23.479,22.249,1334237.0,2977883560.3
2026-04-29,22.479,23.049,23.359,22.419,1139036.0,2625364076.4
2026-04-30,23.049,23.949,24.059,22.889,1603862.0,3841089103.8
2026-05-06,24.059,25.149,25.479,24.009,1973167.0,4962317688.3
2026-05-07,25.229,25.289,25.369,24.859,1629508.0,4120862781.2
2026-05-08,25.079,26.629,26.949,24.859,3064039.0,8159229453.1
2026-05-11,27.109,26.759,27.329,26.369,2726350.0,7295439965.000001
2026-05-12,26.759,25.999,26.759,25.789,1741371.0,4527390462.9
2026-05-13,25.659,25.909,26.169,25.439,1487465.0,3853873068.5
2026-05-14,25.919,24.079,25.969,24.029,1860493.0,4479881094.700001
2026-05-15,23.999,23.109,24.409,23.019,1631998.0,3771384178.200001
2026-05-18,23.029,23.539,24.169,22.979,1371561.0,3228517437.9
2026-05-19,23.479,23.409,23.989,22.939,1300489.0,3044314700.1
2026-05-20,23.179,22.979,23.369,22.779,978715.0,2248989198.5
2026-05-21,23.179,22.349,23.479,22.329,1205027.0,2693114842.3
2026-05-22,22.419,22.379,22.579,21.909,913883.0,2045178765.7
2026-05-25,22.679,22.269,22.929,21.779,1181519.0,2631124661.1
2026-05-26,22.079,21.259,22.089,20.979,1302552.0,2769095296.8
2026-05-27,21.389,20.609,21.639,20.409,1124464.0,2317407857.6
2026-05-28,20.579,20.879,21.159,20.279,989079.0,2065098044.1
2026-05-29,20.869,19.489,20.939,19.159,1413829.0,2755411338.1
2026-06-01,19.479,19.179,19.669,19.179,797263.0,1529070707.7
2026-06-02,19.309,19.369,19.549,18.079,1291796.0,2502079672.4
2026-06-03,19.209,19.959,20.659,19.209,1502630.0,2999099217.0
2026-06-04,19.629,19.689,20.039,19.259,986309.0,1941943790.1
2026-06-05,20.019,21.519,21.659,19.979,2560124.0,5509130835.599999
2026-06-08,20.889,21.949,22.369,20.789,2450105.0,5377735464.5
2026-06-09,21.519,21.949,22.069,20.929,1789699.0,3928210335.1
2026-06-10,21.759,20.869,22.329,20.809,1391748.0,2904438901.2
2026-06-11,20.289,20.099,20.679,19.799,1361556.0,2736591404.4
2026-06-12,20.439,19.989,21.129,19.929,1714200.0,3426514380.0000005
2026-06-15,19.789,19.859,20.189,19.209,1394839.0,2770010770.1
2026-06-16,20.559,20.109,21.179,20.009,1715411.0,3449519979.9
2026-06-17,19.879,20.179,20.709,19.769,1366713.0,2757890162.7
2026-06-18,19.879,20.639,21.139,19.499,1907880.0,3937673532.0
2026-06-22,20.369,20.159,20.829,19.439,1658806.0,3343987015.4
2026-06-23,19.789,18.859,19.879,18.829,1445567.0,2726194805.3
2026-06-24,18.799,19.239,19.379,18.269,1137610.0,2188647879.0
2026-06-25,19.179,18.929,20.019,18.829,1181560.0,2236574924.0
2026-06-26,18.689,19.999,20.479,18.049,2526281.0,5052309371.9
2026-06-29,19.959,19.769,20.019,19.239,1461377.0,2888996191.3
2026-06-30,20.029,21.269,21.539,20.029,1977276.0,4205468324.4
2026-07-01,21.249,21.429,21.729,21.009,1564044.0,3351589887.6
2026-07-02,20.979,20.909,21.919,20.859,1439388.0,3009616369.2
2026-07-03,20.979,22.249,22.399,20.979,1981969.0,4409682828.099999
2026-07-06,22.749,21.489,23.309,21.269,1976022.0,4246273675.8
2026-07-07,21.489,20.609,22.129,20.319,1378623.0,2841204140.7000003
2026-07-08,20.579,20.749,21.199,20.289,1310787.0,2719751946.3
2026-07-09,20.679,21.169,21.179,20.249,1481261.0,3135681410.9
2026-07-10,21.18,23.29,23.29,20.07,2621893.0,6106388797.0
2026-07-13,23.06,21.36,23.06,20.96,3369566.0,7197392976.000001
2026-07-14,20.51,19.31,20.9,19.22,2078833.0,4014226523.0
2026-07-15,18.15,17.38,18.78,17.38,1980060.0,3441344279.9999995
2026-07-16,17.01,16.99,17.62,16.7,1176374.0,1998659426.0
2026-07-17,16.8,16.28,17.11,15.6,1636472.0,2664176416.0
2026-07-20,16.2,14.65,16.42,14.65,1431928.0,2097774520.0
2026-07-21,14.67,15.14,15.29,13.85,1727133.0,2614879362.0
2026-07-22,14.89,14.97,15.42,14.71,1015494.0,1520194518.0000002
2026-07-23,14.75,15.35,15.5,14.72,927125.0,1423136875.0
2026-07-24,15.1,14.62,15.3,14.62,787477.0,1151291374.0
2026-07-27,14.6,15.08,15.1,14.44,777909.0,1173086772.0
2026-07-28,14.89,14.64,15.2,14.55,703422.0,1029809808.0
2026-07-29,14.75,14.71,14.84,14.33,699980.0,1029670580.0
2026-07-30,14.55,14.03,14.7,14.02,767516.0,1076824947.9999998
