日期,成交额,涨家数,跌家数,涨停数,跌停数
20260707,2581148550000.0,0.0,0.0,2,0
20260707,2581148550000.0,0.0,0.0,2,0
20260707,2581148550000.0,0.0,0.0,2,0
20260708,2563516000000.0,0.0,0.0,5,7
20260708,2563516000000.0,0.0,0.0,5,7
20260709,2913721720000.0,0.0,0.0,13,0
20260710,3388544340000.0,,,1,5
20260713,2817751960000.0,0.0,0.0,0,13
20260714,2703965000000.0,0.0,0.0,4,0
20260715,2571151360000.0,0.0,0.0,0,5
20260715,2571151360000.0,,,0,5
20260716,2403561360000.0,0.0,0.0,0,5
20260717,2654958750000.0,0.0,0.0,0,40
20260720,2702127140000.0,0.0,0.0,0,18
20260721,2957092670000.0,0.0,0.0,27,0
